"SampleID = 68"
"Batch Name: Batch,1/1/2000,00:00     Batch Description: <None>"
"EventNo" "BeadID" "IsDDGated" "DD" "CL1" "CL2" "RP1"
1 35 "True" 9526 379 582 21
2 44 "True" 11485 418 1042 583
3 19 "True" 8024 181 178 47
4 0 "False" 17444 450 382 333
5 35 "True" 12423 393 594 9
6 25 "True" 10006 127 366 2
7 47 "True" 14428 2686 1235 16
8 0 "False" 17471 154 244 85
9 35 "True" 9519 408 616 100
10 54 "True" 11132 678 1663 964
11 54 "True" 14104 741 1811 710
12 20 "True" 12825 339 180 34
13 21 "True" 10197 666 202 27
14 22 "True" 11406 1388 213 1867
15 52 "True" 9401 222 1600 3138
16 100 "True" 10611 22631 16301 44
17 47 "True" 10599 2351 1056 32
18 34 "True" 9609 224 640 11
19 18 "True" 11010 120 186 60
20 28 "True" 11049 680 371 35
21 45 "True" 10739 712 1052 14
22 46 "True" 11876 1289 1048 5225
23 20 "True" 14626 434 232 56
24 36 "True" 9294 616 573 22
25 44 "True" 9711 366 936 1379
26 0 "False" 16416 253 244 7
27 42 "True" 10572 137 1101 100
28 21 "True" 8706 669 198 36
29 0 "False" 17151 409 618 1388
30 56 "True" 12189 2391 1711 110
31 25 "True" 8757 99 294 20
32 56 "True" 12637 2558 1834 226
33 42 "True" 9516 129 1004 250
34 21 "True" 10892 739 219 19
35 47 "True" 9857 2328 1037 63
36 28 "True" 13842 748 414 7
37 56 "True" 14282 2195 1600 93
38 34 "True" 10928 240 658 23
39 0 "False" 16492 493 428 488
40 19 "True" 11611 227 219 37
41 0 "True" 9164 5 2 6
42 0 "False" 15397 441 665 256
43 28 "True" 13002 696 378 15
44 0 "False" 15841 1312 202 1271
45 22 "True" 10853 1272 192 1541
46 54 "True" 14433 748 1815 1037
47 0 "False" 17374 430 229 103
48 27 "True" 13893 401 346 277
49 27 "True" 12010 424 358 17
50 43 "True" 12720 246 1084 771
51 28 "True" 10590 686 379 41
52 33 "True" 10951 136 663 875
53 43 "True" 12242 238 1059 290
54 0 "False" 23268 719 1063 657
55 42 "True" 10496 135 1103 74
56 26 "True" 9526 224 351 19
57 28 "True" 13624 670 369 33
58 28 "True" 14840 686 375 41
59 18 "True" 9861 121 201 34
60 26 "True" 11930 245 364 59
61 21 "True" 12167 697 215 3
62 0 "False" 21673 418 919 1224
63 51 "True" 10688 134 1851 12710
64 47 "True" 8994 2182 959 27
65 0 "False" 23932 1081 405 75
66 37 "True" 10292 1224 566 227
67 44 "True" 9488 411 1043 1152
68 54 "True" 10309 683 1690 1136
69 22 "True" 14937 1358 203 1541
70 27 "True" 14659 407 362 132
71 21 "True" 9186 677 207 6
72 0 "False" 16796 788 240 8
73 18 "True" 9538 121 201 128
74 37 "True" 10535 1266 563 432
75 26 "True" 8978 213 331 38
76 36 "True" 11740 747 670 9
77 54 "True" 11129 674 1624 1331
78 18 "True" 10114 129 198 75
79 19 "True" 11193 209 204 30
80 19 "True" 9274 201 204 16
81 51 "True" 10421 129 1814 8979
82 98 "True" 14675 7827 17612 676
83 0 "False" 17155 802 1916 810
84 19 "True" 13997 225 224 29
85 44 "True" 9500 388 986 834
86 19 "True" 10291 212 202 98
87 27 "True" 14317 434 434 77
88 0 "False" 16216 741 1828 2082
89 18 "True" 10294 129 208 86
90 0 "False" 16256 428 643 36
91 22 "True" 10077 1312 210 1090
92 41 "True" 10171 56 844 32
93 43 "True" 11813 235 1061 1043
94 0 "False" 15438 198 546 16
95 56 "True" 9327 2160 1609 91
96 33 "True" 10008 129 641 1132
97 26 "True" 13092 238 367 29
98 21 "True" 10423 713 221 58
99 34 "True" 9888 244 658 7
100 36 "True" 11008 681 632 45
101 0 "False" 17628 255 1157 166
102 46 "True" 10714 1198 989 3197
103 35 "True" 11754 436 661 66
104 34 "True" 12350 215 630 37
105 35 "True" 11192 414 632 23
106 97 "True" 11620 4136 16996 1042
107 20 "True" 9391 332 183 20
108 27 "True" 14964 415 361 240
109 27 "True" 10077 399 340 553
110 37 "True" 11315 1395 618 44
111 44 "True" 10143 397 1011 1173
112 52 "True" 12564 236 1671 1251
113 0 "False" 17343 139 680 1202
114 98 "True" 11588 7339 17178 523
115 25 "True" 11247 127 364 25
116 0 "False" 18484 376 1095 70
117 54 "True" 12190 716 1753 1143
118 0 "False" 19907 386 1101 637
119 18 "True" 10613 129 208 53
120 0 "False" 16278 1377 209 1062
121 43 "True" 10264 243 1121 664
122 0 "True" 10019 9 1 392
123 27 "True" 14801 424 369 276
124 99 "True" 10792 12892 15769 2568
125 100 "True" 12370 22858 16594 12
126 54 "True" 13874 775 1848 978
127 100 "True" 10503 22235 17036 21
128 0 "False" 15752 442 1112 812
129 43 "True" 10785 239 1084 606
130 29 "True" 13009 1367 375 80
131 0 "False" 16697 153 438 6
132 19 "True" 10451 213 211 30
133 0 "False" 16731 143 1964 10485
134 0 "False" 25534 63 22 1272
135 35 "True" 11594 398 615 19
136 43 "True" 10398 220 1042 1103
137 42 "True" 14553 135 1078 130
138 27 "True" 14642 422 364 275
139 35 "True" 9707 364 559 127
140 21 "True" 10524 697 211 36
141 37 "True" 9731 1190 527 277
142 43 "True" 14677 239 1090 547
143 41 "True" 10332 66 1044 35
144 47 "True" 10391 2340 1102 42
145 0 "False" 15229 140 683 1098
146 42 "True" 9932 123 996 163
147 37 "True" 10513 1237 554 462
148 22 "True" 9784 1152 179 1423
149 26 "True" 10732 220 345 25
150 0 "True" 8951 3 0 14286
151 0 "False" 16461 143 1144 36
152 34 "True" 10616 221 632 12
153 27 "True" 10544 406 355 111
154 22 "True" 9756 1162 180 1692
155 37 "True" 14954 1393 625 339
156 34 "True" 10349 230 645 21
157 0 "True" 8870 1051 159 819
158 25 "True" 10341 137 381 6
159 45 "True" 11520 682 990 68
160 54 "True" 14600 732 1789 1462
161 42 "True" 13976 146 1146 54
162 36 "True" 10126 690 630 62
163 100 "True" 14945 23350 16584 6
164 29 "True" 10792 1257 338 439
165 27 "True" 9764 409 351 467
166 25 "True" 12306 131 382 29
167 52 "True" 9839 225 1632 2598
168 26 "True" 12504 220 354 6
169 0 "False" 26877 1322 1280 7859
170 20 "True" 9921 362 202 16
171 0 "False" 16599 147 2003 9724
172 22 "True" 14240 1269 198 514
173 0 "False" 16546 438 1101 1031
174 37 "True" 12102 1276 578 587
175 52 "True" 13008 226 1688 2208
176 0 "False" 15173 14646 18036 2482
177 97 "True" 12080 4218 17441 830
178 25 "True" 10091 122 362 32
179 28 "True" 9379 640 360 37
180 22 "True" 11282 1265 192 583
181 34 "True" 11223 222 605 13
182 37 "True" 9868 1222 546 478
183 0 "False" 27427 10228 7439 29529
184 46 "True" 14624 1381 1117 12434
185 52 "True" 12826 229 1635 2047
186 0 "False" 17330 239 659 46
187 46 "True" 9880 1252 1010 5153
188 0 "False" 17687 1289 1063 2551
189 99 "True" 10618 13541 16876 2607
190 42 "True" 14087 132 1054 110
191 34 "True" 13641 212 589 20
192 0 "False" 29848 22 0 8070
193 45 "True" 10523 713 1043 98
194 0 "False" 15078 137 1897 8814
195 56 "True" 10474 2324 1693 159
196 45 "True" 11202 748 1103 103
197 37 "True" 10009 1253 566 122
198 22 "True" 10733 1212 187 901
199 0 "False" 15202 1369 366 604
200 99 "True" 12928 13535 16811 2539
201 36 "True" 10200 705 637 38
202 25 "True" 14870 136 382 7
203 99 "True" 10389 13261 16428 2699
204 21 "True" 10619 697 216 99
205 0 "True" 9210 303 257 231
206 45 "True" 10480 743 1103 241
207 0 "False" 17972 1436 382 703
208 25 "True" 9895 122 350 23
209 0 "False" 18436 243 689 1023
210 34 "True" 14174 226 646 4
211 34 "True" 12807 209 569 2562
212 54 "True" 12307 654 1611 563
213 0 "False" 15418 248 697 20
214 36 "True" 9888 690 610 75
215 44 "True" 9502 387 966 1373
216 35 "True" 12281 429 654 112
217 0 "False" 15543 414 227 18
218 0 "False" 18106 255 1852 807
219 21 "True" 10091 695 209 60
220 0 "False" 17232 242 671 10
221 43 "True" 10403 233 1054 608
222 0 "False" 16090 246 235 51
223 35 "True" 11322 402 604 34
224 0 "False" 15963 677 365 42
225 26 "True" 12678 257 393 27
226 0 "False" 15535 724 385 14
227 33 "True" 10003 117 587 1654
228 51 "True" 10040 127 1794 11833
229 0 "False" 16830 729 671 6
230 27 "True" 11416 432 368 824
231 37 "True" 11619 1243 566 297
232 99 "True" 11189 13298 16650 2519
233 0 "True" 9503 1015 827 699
234 0 "True" 9012 8 0 1
235 27 "True" 10280 432 369 334
236 54 "True" 10500 713 1719 821
237 28 "True" 13911 759 416 44
238 34 "True" 10708 207 600 9
239 47 "True" 10497 2398 1059 380
240 0 "False" 16628 1243 190 476
241 0 "False" 18007 252 1847 2568
242 27 "True" 10184 431 362 415
243 0 "False" 15003 148 233 33
244 0 "False" 15632 231 1049 254
245 26 "True" 11142 214 343 43
246 20 "True" 12204 427 229 76
247 35 "True" 11095 386 607 32
248 19 "True" 14780 234 222 83
249 46 "True" 11344 1250 1028 3739
250 47 "True" 10704 2531 1100 93
251 35 "True" 9922 389 597 66
252 43 "True" 11571 240 1064 67
253 0 "False" 15520 774 696 40
254 47 "True" 14019 2343 1071 91
255 36 "True" 10349 738 676 35
256 35 "True" 10555 426 644 6
257 33 "True" 10621 121 610 1985
258 0 "False" 15280 263 255 55
259 28 "True" 13238 664 381 38
260 28 "True" 10707 700 388 8
261 100 "True" 10434 23956 18799 9
262 18 "True" 10674 130 214 52
263 0 "False" 15366 274 1926 2183
264 36 "True" 10505 727 639 20
265 56 "True" 14805 2392 1759 267
266 0 "False" 16260 768 232 55
267 0 "False" 16396 418 226 35
268 37 "True" 11144 1281 571 460
269 44 "True" 11577 405 1011 1526
270 29 "True" 10546 1312 362 143
271 42 "True" 10185 130 1026 58
272 42 "True" 9729 130 1058 143
273 46 "True" 13438 1196 984 3984
274 21 "True" 9711 674 207 20
275 47 "True" 13617 2391 1099 127
276 51 "True" 14305 124 1724 9440
277 28 "True" 9894 641 357 42
278 28 "True" 9847 664 368 13
279 37 "True" 14939 1290 576 1005
280 43 "True" 14441 235 1074 23
281 27 "True" 10875 443 376 296
282 0 "False" 15570 1387 1107 3094
283 100 "True" 11865 23432 17840 20
284 0 "False" 16915 769 690 19
285 27 "True" 10047 410 348 941
286 26 "True" 10126 220 344 13
287 54 "True" 12663 728 1783 1114
288 0 "False" 16409 755 405 18
289 0 "False" 16581 138 221 73
290 0 "True" 14667 268 261 68
291 56 "True" 14631 2456 1788 119
292 0 "False" 26994 39 0 2054
293 46 "True" 10349 1219 999 3531
294 0 "False" 16193 141 1134 44
295 35 "True" 14432 424 654 5
296 0 "False" 17425 1388 386 63
297 44 "True" 11906 418 1071 755
298 42 "True" 13695 127 1052 214
299 29 "True" 11052 1257 337 146
300 0 "False" 15388 4543 18732 908
301 18 "True" 10565 124 201 13
302 0 "False" 17019 137 671 301
303 29 "True" 10332 1226 330 850
304 19 "True" 13767 221 217 52
305 35 "True" 11566 397 609 16
306 97 "True" 9732 4021 16564 1368
307 99 "True" 12804 14075 18712 1399
308 22 "True" 13170 1297 198 1122
309 0 "False" 15982 238 1727 2285
310 98 "True" 12051 7597 17611 1080
311 22 "True" 10712 1270 195 1231
312 36 "True" 9168 682 625 25
313 26 "True" 13228 232 362 29
314 98 "True" 10664 7494 17904 625
315 28 "True" 11930 629 351 22
316 43 "True" 11035 238 1062 301
317 41 "True" 13368 80 1175 17
318 25 "True" 9759 109 306 17
319 0 "False" 24460 511 2059 831
320 18 "True" 12426 143 224 83
321 27 "True" 12136 404 355 80
322 35 "True" 10913 401 610 594
323 52 "True" 11521 219 1597 2153
324 35 "True" 11030 403 615 46
325 98 "True" 9687 6934 16640 1578
326 54 "True" 9102 661 1629 925
327 0 "False" 15956 457 1139 762
328 36 "True" 14990 771 700 24
329 22 "True" 10871 1212 186 1687
330 44 "True" 14445 375 944 755
331 20 "True" 14243 416 224 78
332 34 "True" 14970 216 589 1
333 46 "True" 11544 1226 987 3395
334 97 "True" 9304 3872 15919 481
335 33 "True" 9321 133 629 1774
336 25 "True" 11593 129 376 1
337 44 "True" 14637 431 1056 496
338 46 "True" 9880 1117 895 4072
339 98 "True" 12728 7124 17034 1168
340 22 "True" 14670 1312 206 1161
341 54 "True" 13048 797 1894 972
342 0 "False" 16578 69 1089 73
343 45 "True" 11068 755 1107 104
344 18 "True" 10612 123 199 90
345 37 "True" 11216 1317 592 140
346 19 "True" 10351 219 219 102
347 37 "True" 10321 1225 547 423
