"SampleID = 49"
"Batch Name: Batch,1/1/2000,00:00     Batch Description: <None>"
"EventNo" "BeadID" "IsDDGated" "DD" "CL1" "CL2" "RP1"
1 25 "True" 11595 128 368 8
2 22 "True" 9535 1139 177 766
3 26 "True" 13567 235 368 18
4 29 "True" 13381 1346 372 131
5 0 "False" 17860 757 414 34
6 56 "True" 10480 2245 1611 24
7 41 "True" 11164 63 1026 49
8 33 "True" 9904 121 589 1363
9 0 "False" 17106 238 230 9
10 35 "True" 14595 410 616 1
11 37 "True" 11487 1331 594 498
12 20 "True" 10256 399 216 26
13 0 "False" 15660 132 642 2692
14 37 "True" 10791 1179 535 133
15 22 "True" 13886 1410 217 305
16 0 "True" 11933 259 725 25
17 100 "True" 12500 24072 18027 11
18 99 "True" 9124 11729 15803 4242
19 41 "True" 10589 58 901 9
20 26 "True" 13847 222 357 4
21 0 "False" 24791 239 377 11
22 35 "True" 9743 396 604 44
23 51 "True" 14069 141 1897 8267
24 26 "True" 9576 229 352 22
25 19 "True" 14172 217 208 40
26 44 "True" 13538 419 1065 45
27 0 "False" 17621 924 274 6
28 19 "True" 10239 226 215 79
29 27 "True" 14852 425 364 253
30 0 "False" 15307 454 685 9
31 37 "True" 13118 1200 556 98
32 46 "True" 9861 1330 1061 325
33 25 "True" 9954 113 339 -1
34 0 "False" 16216 1364 374 339
35 27 "True" 10259 438 374 92
36 41 "True" 12934 72 1118 8
37 97 "True" 12062 4084 18486 807
38 34 "True" 9405 203 569 17
39 28 "True" 14917 706 392 28
40 0 "False" 16102 439 685 76
41 97 "True" 10900 3853 14882 559
42 0 "False" 16773 2554 1175 50
43 0 "False" 17524 141 676 1148
44 26 "True" 10293 241 356 23
45 25 "True" 11257 130 369 17
46 36 "True" 12114 725 669 32
47 28 "True" 8964 625 352 33
48 44 "True" 14538 414 1024 52
49 46 "True" 12530 1282 1049 244
50 0 "False" 16569 447 379 81
51 0 "False" 17838 458 395 155
52 36 "True" 14216 709 653 39
53 52 "True" 11940 239 1696 1580
54 19 "True" 9789 200 198 10
55 45 "True" 11307 777 1131 117
56 42 "True" 13064 132 1059 100
57 44 "True" 11258 423 1049 146
58 0 "False" 15526 2646 1875 69
59 56 "True" 13435 2589 1850 263
60 21 "True" 14884 702 215 21
61 21 "True" 13958 722 218 10
62 18 "True" 11564 141 221 53
63 27 "True" 12174 411 357 163
64 47 "True" 9586 2128 985 29
65 18 "True" 9589 128 203 44
66 20 "True" 13072 374 204 29
67 51 "True" 10819 129 1759 8102
68 37 "True" 11589 1368 600 745
69 19 "True" 14002 243 235 25
70 26 "True" 10857 207 330 5
