"SampleID = 24"
"Batch Name: Batch,1/1/2000,00:00     Batch Description: <None>"
"EventNo" "BeadID" "IsDDGated" "DD" "CL1" "CL2" "RP1"
1 18 "True" 9642 120 189 43
2 25 "True" 11000 140 399 12
3 47 "True" 11016 2369 1061 59
4 35 "True" 12668 409 629 41
5 51 "True" 11748 128 1815 5816
6 33 "True" 14963 130 630 936
7 42 "True" 11413 127 1051 55
8 0 "False" 16593 453 694 42
9 42 "True" 14122 136 1117 120
10 52 "True" 10634 228 1648 529
11 28 "True" 10526 690 377 53
12 42 "True" 13906 130 1055 39
13 22 "True" 11782 1262 199 1734
14 34 "True" 14953 246 676 156
15 34 "True" 9765 214 592 233
16 0 "False" 17681 257 1155 905
17 0 "False" 16726 785 1145 89
18 33 "True" 14271 121 580 1051
19 47 "True" 9523 2254 1003 43
20 42 "True" 13037 136 1097 60
21 43 "True" 10984 240 1089 282
22 27 "True" 13211 479 407 128
23 37 "True" 10510 1188 540 95
24 51 "True" 11324 128 1735 773
25 100 "True" 12747 22491 16719 39
26 25 "True" 10787 128 369 30
27 21 "True" 9896 648 200 32
28 25 "True" 8594 112 332 19
29 0 "False" 17192 242 1720 1557
30 45 "True" 10965 774 1146 113
31 35 "True" 8753 359 556 52
32 97 "True" 11227 4198 17252 1022
33 37 "True" 10332 1315 594 110
34 0 "False" 16322 130 371 0
35 100 "True" 12028 22600 16605 311
36 47 "True" 13674 2295 1060 103
37 37 "True" 9168 1166 523 172
38 0 "True" 8397 93 275 28
39 42 "True" 14819 126 1022 81
40 34 "True" 14771 228 640 129
41 22 "True" 9015 1185 182 113
42 0 "False" 15158 229 660 240
43 0 "False" 16100 1339 210 165
44 22 "True" 12091 1295 200 161
45 21 "True" 11300 715 217 36
46 28 "True" 11492 677 371 22
47 20 "True" 12792 384 209 55
48 20 "True" 11037 423 228 39
49 35 "True" 13107 439 680 103
50 21 "True" 8359 654 202 50
51 97 "True" 9626 3930 16176 1034
52 20 "True" 11145 387 215 78
53 0 "False" 15689 749 685 55
54 100 "True" 8884 20119 15821 54
55 0 "False" 15499 724 403 37
56 0 "False" 16144 72 1165 39
57 46 "True" 12962 1303 1075 202
58 42 "True" 13069 140 1123 21
59 0 "False" 17004 2613 1881 90
60 43 "True" 14589 255 1161 1049
61 25 "True" 11472 117 353 4
62 44 "True" 14094 470 1153 77
63 54 "True" 8727 654 1568 980
64 22 "True" 12837 1242 190 131
65 27 "True" 11248 414 358 104
66 25 "True" 11466 138 381 18
67 0 "False" 17029 1369 609 50
68 34 "True" 11510 237 657 194
69 0 "False" 15066 702 633 8
70 56 "True" 10742 2340 1686 99
71 0 "False" 15677 432 1090 31
72 29 "True" 13026 1223 330 1735
73 54 "True" 9973 692 1682 634
74 37 "True" 12984 1210 547 152
75 28 "True" 9395 603 331 202
76 0 "False" 16633 1505 233 100
77 54 "True" 11172 685 1679 2
78 0 "False" 16572 139 396 12
79 20 "True" 13713 406 226 30
80 27 "True" 12863 455 396 26
81 22 "True" 9795 1278 201 60
82 26 "True" 12947 253 389 71
83 26 "True" 7642 256 334 17
84 22 "True" 12947 1314 204 146
85 45 "True" 9959 691 1020 37
