"SampleID = 32"
"Batch Name: Batch,1/1/2000,00:00     Batch Description: <None>"
"EventNo" "BeadID" "IsDDGated" "DD" "CL1" "CL2" "RP1"
1 97 "True" 11807 4192 16915 962
2 0 "False" 15754 440 375 463
3 52 "True" 13023 217 1537 3006
4 47 "True" 12543 2355 1097 127
5 25 "True" 10307 128 361 16
6 0 "False" 15421 742 1786 3379
7 47 "True" 13701 2358 1066 288
8 56 "True" 12495 2561 1836 160
9 0 "False" 16597 2385 1040 144
10 37 "True" 10785 1297 581 25
11 19 "True" 10732 216 204 83
12 18 "True" 12307 126 205 67
13 51 "True" 11006 114 1594 7835
14 21 "True" 10977 710 214 28
15 0 "False" 7140 6 0 1420
16 0 "False" 16583 790 1884 3137
17 0 "False" 6819 8 2 3
18 51 "True" 13869 132 1800 28643
19 46 "True" 14399 1361 1090 6627
20 100 "True" 10887 21753 14322 13
21 22 "True" 12255 1284 197 1748
22 41 "True" 9928 62 962 12
23 35 "True" 10093 385 582 25
24 47 "True" 11257 2196 1009 93
25 42 "True" 13928 148 1150 220
26 27 "True" 12385 412 359 683
27 0 "False" 16320 423 642 36
28 0 "False" 16862 1432 637 1336
29 36 "True" 11455 756 691 211
30 0 "False" 16369 267 400 21
31 0 "True" 7971 8 0 10
32 0 "False" 16107 135 1957 8808
33 36 "True" 10113 729 652 33
34 51 "True" 13760 142 1908 11818
35 21 "True" 10898 746 227 61
36 0 "False" 15457 470 405 830
37 19 "True" 9919 203 203 44
38 45 "True" 9508 671 996 53
39 42 "True" 10495 132 1062 85
40 45 "True" 12335 717 1045 108
41 18 "True" 10002 133 205 77
42 0 "False" 16290 248 1756 2436
43 0 "False" 17008 459 679 11
44 45 "True" 10058 709 1032 154
45 42 "True" 10046 125 973 197
46 36 "True" 11679 708 648 31
47 51 "True" 13775 130 1807 9139
48 0 "False" 16868 72 1116 59
49 21 "True" 12327 744 223 1
50 100 "True" 13411 24951 18875 7
51 45 "True" 13095 742 1089 101
52 0 "True" 8494 4 0 32291
53 33 "True" 11847 131 631 1503
54 28 "True" 14020 737 399 80
55 0 "False" 17325 123 608 1590
56 28 "True" 12158 737 398 -1
57 26 "True" 10812 243 370 15
58 0 "False" 16439 24757 18675 5
59 42 "True" 9732 125 1046 176
60 46 "True" 11558 1442 1141 9589
61 54 "True" 11827 700 1666 4030
62 21 "True" 10459 724 218 67
63 0 "False" 17728 261 1179 366
64 42 "True" 10798 132 1055 393
65 34 "True" 10157 220 600 25
66 22 "True" 13648 1291 197 1211
67 100 "True" 14981 25590 19370 24
68 35 "True" 14883 427 640 5
69 43 "True" 10711 235 1070 672
70 42 "True" 13116 154 1175 265
71 28 "True" 10198 671 372 115
72 0 "True" 8333 5 0 1997
73 36 "True" 10344 705 631 9
74 28 "True" 13249 706 387 57
75 21 "True" 13624 704 215 73
76 51 "True" 13968 149 2001 3518
77 54 "True" 14695 754 1840 1175
78 43 "True" 10052 233 1052 1355
79 0 "False" 18046 440 234 17
80 25 "True" 10995 139 399 25
81 44 "True" 8704 362 892 1643
82 42 "True" 10362 138 1116 151
83 56 "True" 13275 2441 1750 145
84 34 "True" 13593 240 649 45
85 0 "False" 16838 245 1775 1525
86 22 "True" 14975 1359 207 1077
87 46 "True" 10820 1393 1113 2981
88 98 "True" 12411 7772 17884 823
89 54 "True" 13671 712 1698 3536
90 20 "True" 10824 419 220 65
91 0 "False" 17336 793 1147 38
92 27 "True" 10435 401 351 1080
93 0 "False" 17538 421 627 10
94 22 "True" 10238 1265 192 1535
95 45 "True" 14719 821 1158 97
96 45 "True" 13206 768 1100 168
97 0 "False" 15429 783 1142 66
98 37 "True" 12256 1334 606 1810
99 28 "True" 13497 734 397 78
100 18 "True" 9733 122 198 6
101 56 "True" 14483 2531 1819 147
102 44 "True" 12703 420 1049 2630
103 0 "True" 9331 95 266 16
104 100 "True" 12430 24491 17275 21
105 54 "True" 14946 774 1888 1011
106 46 "True" 9898 1243 987 7169
107 99 "True" 10385 13062 17448 2297
108 46 "True" 10562 1286 1045 2638
109 52 "True" 10472 252 1800 3368
110 97 "True" 11887 4269 17576 1025
111 97 "True" 10440 4222 17349 1181
112 46 "True" 9851 1173 928 6009
113 27 "True" 10824 401 344 349
114 34 "True" 14649 231 637 30
115 25 "True" 11603 128 366 6
116 0 "False" 16574 1446 399 78
117 33 "True" 14510 140 672 1680
118 97 "True" 12884 4404 18052 871
119 99 "True" 11539 12964 14709 1336
120 27 "True" 11221 410 350 684
121 22 "True" 10407 1400 213 1755
122 0 "True" 13151 8 0 29519
123 37 "True" 11409 1325 589 1380
124 44 "True" 13121 465 1141 2249
125 46 "True" 10876 1296 1035 7848
126 35 "True" 9863 387 596 26
127 51 "True" 9829 128 1779 10693
128 0 "False" 16642 8155 29085 3497
129 26 "True" 10526 233 367 22
130 19 "True" 14991 221 206 13
131 18 "True" 14691 126 203 44
132 0 "False" 24622 982 2603 2097
133 37 "True" 11189 1409 631 1883
134 27 "True" 11714 455 386 556
135 19 "True" 13966 239 221 173
136 0 "False" 24524 267 10 16
137 37 "True" 10377 1326 588 28601
138 52 "True" 10721 252 1826 2123
139 45 "True" 9924 708 1037 70
140 37 "True" 11573 1342 600 2112
141 27 "True" 14080 459 384 824
142 37 "True" 13365 1357 602 65
143 41 "True" 9276 65 999 94
144 0 "False" 17767 1361 601 1396
145 0 "False" 27119 335 8 12
146 21 "True" 13439 710 213 6
147 0 "False" 15551 732 1830 3232
148 27 "True" 11958 389 333 659
149 56 "True" 11244 2392 1754 228
150 0 "False" 15355 1324 589 1411
151 25 "True" 9555 117 353 12
152 20 "True" 10964 376 204 32
153 25 "True" 12867 129 376 13
154 52 "True" 14575 242 1736 2709
155 22 "True" 14907 1403 217 407
156 21 "True" 13151 828 220 35
157 52 "True" 11215 240 1787 2573
158 20 "True" 13298 401 222 27
159 0 "False" 15525 1394 610 1587
160 0 "False" 17059 401 619 19
161 0 "False" 16785 449 1111 1518
162 18 "True" 11795 126 208 73
163 0 "False" 17161 417 630 27
164 19 "True" 10360 221 211 7
165 21 "True" 9953 718 217 33
166 54 "True" 10902 744 1773 5885
167 37 "True" 10901 1286 569 1938
168 19 "True" 10634 214 210 175
169 56 "True" 14131 2500 1810 103
170 41 "True" 11880 66 1043 99
171 42 "True" 12725 123 1012 187
172 0 "False" 25300 898 1616 103
173 0 "False" 17693 248 238 91
174 19 "True" 11013 217 213 17
175 20 "True" 11059 378 207 30
176 0 "False" 16716 246 239 65
177 100 "True" 11300 22696 16925 245
178 0 "False" 15450 1307 199 1929
179 0 "False" 25753 2044 944 123
180 56 "True" 10586 2355 1673 62
181 20 "True" 10714 397 213 15
182 52 "True" 11957 226 1608 794
183 35 "True" 10169 381 592 31
184 18 "True" 10539 130 214 54
185 0 "False" 15506 224 992 677
186 45 "True" 10678 626 916 64
187 35 "True" 12588 393 585 63
188 22 "True" 11712 1374 211 1404
189 0 "False" 15769 395 991 35
190 37 "True" 10065 1108 501 1092
191 42 "True" 14376 146 1129 157
192 35 "True" 11536 398 614 35
193 20 "True" 10183 384 205 27
194 51 "True" 10598 129 1861 11556
195 36 "True" 10148 723 649 29
196 34 "True" 9936 200 571 42
197 0 "False" 16666 425 370 489
198 0 "False" 15213 430 649 55
199 98 "True" 10921 7641 17947 732
200 0 "False" 6701 7 0 711
201 47 "True" 14753 2508 1151 53
202 37 "True" 11286 1467 658 1577
203 0 "False" 15443 252 1787 729
204 36 "True" 9593 650 589 32
