"SampleID = 40"
"Batch Name: Batch,1/1/2000,00:00     Batch Description: <None>"
"EventNo" "BeadID" "IsDDGated" "DD" "CL1" "CL2" "RP1"
1 51 "True" 12718 132 1907 9422
2 35 "True" 9591 377 585 27
3 51 "True" 10257 125 1715 8294
4 54 "True" 10394 687 1679 2753
5 21 "True" 13304 715 217 16
6 0 "True" 7976 550 815 99
7 29 "True" 11436 1225 330 674
8 45 "True" 9428 692 1016 124
9 0 "True" 7680 522 469 15
10 18 "True" 9186 126 212 255
11 0 "True" 10228 516 423 11
12 20 "True" 14325 393 209 5
13 0 "False" 18116 1370 210 171
14 0 "False" 15289 243 1109 3329
15 54 "True" 10620 694 1682 2740
16 0 "False" 16448 1302 578 269
17 47 "True" 9907 2224 1021 90
18 0 "False" 17233 73 1160 54
19 0 "False" 16448 429 225 36
20 25 "True" 11746 152 417 4
21 36 "True" 10704 724 670 2
22 0 "False" 16171 427 369 333
23 54 "True" 12118 718 1729 1893
24 26 "True" 12508 237 369 35
25 0 "False" 15665 449 1115 368
26 98 "True" 9923 7196 17319 2539
27 97 "True" 9386 3801 15663 1156
28 29 "True" 10277 1239 340 1830
29 21 "True" 9764 650 200 13
30 0 "False" 15549 761 1850 1784
31 46 "True" 11795 1302 1052 2760
32 47 "True" 14702 2412 1112 81
33 41 "True" 13304 66 1006 6
34 34 "True" 14436 215 596 67
35 25 "True" 9425 126 349 32
36 21 "True" 9684 687 203 11
37 25 "True" 12915 138 394 26
38 51 "True" 11038 120 1690 3212
39 54 "True" 10253 673 1644 1656
40 54 "True" 10496 740 1782 2203
41 37 "True" 10546 1239 562 443
42 37 "True" 10878 1263 563 362
43 54 "True" 12051 718 1742 2071
44 21 "True" 13251 653 197 13
45 28 "True" 11490 685 368 68
46 42 "True" 14480 133 1104 28
47 45 "True" 9950 751 1086 131
48 0 "False" 15439 132 389 5
49 44 "True" 13884 416 1035 294
50 0 "False" 18226 148 706 1996
51 47 "True" 9254 2218 1022 82
52 56 "True" 10111 2261 1635 63
53 0 "False" 17786 876 2099 693
54 34 "True" 14533 236 655 10
55 18 "True" 10306 112 191 1
56 0 "False" 6859 6 0 -1
57 25 "True" 13199 137 390 7
58 54 "True" 11406 712 1719 2289
59 0 "True" 13071 9 1 11834
60 25 "True" 12426 135 383 8
61 33 "True" 12793 134 668 2583
62 0 "True" 12752 8 1 1007
63 46 "True" 9698 1171 960 1819
64 27 "True" 14716 368 309 372
65 0 "False" 16381 2368 1705 110
66 25 "True" 10382 132 377 17
67 54 "True" 10897 665 1623 1722
68 0 "False" 16975 769 231 14
69 51 "True" 9444 114 1674 11254
70 37 "True" 12577 1293 574 254
71 37 "True" 12440 1284 573 433
72 25 "True" 14112 135 382 16
73 52 "True" 9778 216 1575 468
74 44 "True" 9954 408 999 447
75 29 "True" 11114 1198 330 1645
76 0 "False" 15771 1250 997 1398
77 34 "True" 10110 219 621 40
78 33 "True" 11006 127 626 2817
