"SampleID = 30"
"Batch Name: Batch,1/1/2000,00:00     Batch Description: <None>"
"EventNo" "BeadID" "IsDDGated" "DD" "CL1" "CL2" "RP1"
1 22 "True" 10110 1251 189 170
2 100 "True" 11682 22592 17097 28
3 0 "False" 16908 693 377 2
4 44 "True" 10027 404 1012 237
5 29 "True" 10623 1286 349 55
6 42 "True" 14438 133 1102 44
7 0 "False" 16792 137 667 468
8 99 "True" 11121 13659 16939 2928
9 35 "True" 9772 379 565 44
10 45 "True" 13197 771 1129 63
11 0 "False" 15591 239 378 3
12 46 "True" 9956 1253 1011 480
13 18 "True" 12494 126 201 65
14 45 "True" 11667 764 1116 24
15 36 "True" 13777 777 695 58
16 54 "True" 14547 736 1769 404
17 54 "True" 12518 828 1964 650
18 34 "True" 10221 232 633 11
19 0 "True" 11832 301 158 19
20 0 "False" 16689 1314 199 105
21 27 "True" 13091 438 370 74
22 46 "True" 9991 1348 1111 392
23 99 "True" 9594 13261 16202 2574
24 0 "True" 7534 8 0 2
25 0 "False" 16764 438 232 33
26 0 "False" 17083 421 637 3
27 36 "True" 8592 632 585 58
28 33 "True" 12811 117 584 802
29 33 "True" 9531 118 578 503
30 0 "False" 15158 1434 394 42
31 19 "True" 10732 223 214 24
32 52 "True" 10415 224 1629 10
33 100 "True" 13244 23532 19866 54
34 0 "False" 16465 141 1133 51
35 37 "True" 14335 1316 593 74
36 0 "True" 14080 11 1 4
37 51 "True" 10451 139 1826 6939
38 0 "False" 16551 754 408 11
39 35 "True" 11776 389 584 31
40 0 "True" 13019 197 1304 215
41 0 "False" 17073 2618 1198 54
42 0 "False" 15956 137 640 545
43 45 "True" 11388 738 1091 135
44 29 "True" 12499 1285 352 26
45 35 "True" 13377 361 556 32
46 0 "False" 17192 452 385 106
47 26 "True" 13454 252 394 7
48 0 "False" 17820 1452 222 166
49 20 "True" 11676 400 213 34
50 22 "True" 11327 1203 183 187
51 33 "True" 10463 122 616 700
52 0 "False" 15846 1410 620 18
53 0 "False" 17196 759 411 36
54 27 "True" 13228 449 377 56
55 33 "True" 9921 113 555 658
56 34 "True" 12609 228 633 43
